dependency,version,historical_rows,evidence,source_batch
Test::Trap,v0.3.5,25,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_5_20260824_221336
Text::Trie,0.2,15,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_10_20260825_152502
Text::Trie,0.21,15,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_10_20260825_152502
Tk::JFileDialog,1.00,15,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_10_20260825_152502
Type::Library,0.001,45,dependency_pair_did_not_remain,60_dependency_failure_confirmation_2_20260824_211845
URI,0.01,488,dependency_install_failure_reproduced_all_bases,25_top_dependency_failure_confirmation_20260822_222459
URI::XS,v2.1.7,15,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_10_20260825_152502
Unicode::Normalize,0.03,20,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_9_20260825_150212
Uplug,0.3.2,5,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_11_20260825_162324
Uplug,0.3.8,5,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_11_20260825_162324
WWW::Mechanize::PhantomJS,0.01,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_7_20260825_134344
WWW::Scraper::ISBN,0.18,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_4_20260824_220111
XLog,v1.1.3,15,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_10_20260825_152502
XML::DOM,1.08,60,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_20260823_152354
XML::TokeParser,0.01,45,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_2_20260824_211845
XS::Framework,v1.6.2,20,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_8_20260825_144903
XS::Install,v1.5.2,5,dependency_install_failure_not_reproduced,30_dependency_failure_confirmation_final_20260825_164914
XS::libcatch,v1.1.0,5,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_11_20260825_162324
XS::libcatch,v3.7.1.1,5,dependency_install_failure_not_reproduced,30_dependency_failure_confirmation_final_20260825_164914
ZOOM,0.01,20,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_8_20260825_144903
ZOOM,1.32,20,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_7_20260825_134344
autovivification,0.01,6,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_11_20260825_162324
self,0.10,20,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_9_20260825_150212
threads,2.21,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_5_20260824_221336
