dependency,version,historical_rows,confirmation_fail,confirmation_pass,evidence
Time::Piece,1.00,90,5,0,configuration_pair_reproduced_all_bases
Tk,804.036,18,3,2,configuration_pair_version_dependent
Tk::JFileDialog,2.41,9,3,2,configuration_pair_version_dependent
Tk::ListEntry,0.07,3,3,2,configuration_pair_version_dependent
Tk::PopList,0.01,3,3,2,configuration_pair_version_dependent
Tk::PopList,0.14,3,3,2,configuration_pair_version_dependent
Treex::Core::DocumentReader,0.05222,12,3,2,configuration_pair_version_dependent
Treex::Core::Resource,0.05222,9,3,2,configuration_pair_version_dependent
URI::Escape::XS,0.01,15,3,2,configuration_pair_version_dependent
UniEvent,v1.2.14,5,5,0,configuration_pair_reproduced_all_bases
UniEvent::HTTP,v1.0.0,25,5,0,configuration_pair_reproduced_all_bases
UniEvent::HTTP,v1.2.3,25,5,0,configuration_pair_reproduced_all_bases
Unicode::CaseFold,0.01,15,3,2,configuration_pair_version_dependent
WWW::Curl,2.0,45,5,0,configuration_pair_reproduced_all_bases
WWW::Curl,4.17,45,5,0,configuration_pair_reproduced_all_bases
WebService::Braintree::MultipleValuesNode,1.7,21,5,0,configuration_pair_mixed_failure_mechanism
WebService::Solr,0.01,2,1,4,configuration_pair_version_dependent
Win32::OLE,0.1007,5,5,0,configuration_pair_reproduced_all_bases
Win32::OLE,0.1713,5,5,0,configuration_pair_reproduced_all_bases
Win32::ShellExt::CopyHook::Veto,0.1,5,5,0,configuration_pair_reproduced_all_bases
Win32::ShellExt::QueryInfo::JpgSize,0.1,5,5,0,configuration_pair_reproduced_all_bases
Wx,0.07,30,5,0,configuration_pair_reproduced_all_bases
Wx,0.9932,30,5,0,configuration_pair_reproduced_all_bases
Wx::Perl::ListCtrl,0.01,25,5,0,configuration_pair_reproduced_all_bases
Wx::Perl::ListCtrl,0.03,25,5,0,configuration_pair_reproduced_all_bases
Wx::Scintilla,0.39,15,5,0,configuration_pair_reproduced_all_bases
XLog,v1.0.0,15,5,0,configuration_pair_reproduced_all_bases
XML::LibXSLT,0.94,25,5,0,configuration_pair_reproduced_all_bases
XML::Parser,2.16,70,5,0,configuration_pair_reproduced_all_bases
XML::Simple,1.00,475,5,0,configuration_pair_reproduced_all_bases
XS::Install,v1.0.0,5,5,0,configuration_pair_reproduced_all_bases
YAML::Syck,0.01,37,5,0,configuration_pair_reproduced_all_bases
ZMQ::LibZMQ4,0.01,5,5,0,configuration_pair_reproduced_all_bases
autovivification,0.01,9,5,0,configuration_pair_mixed_failure_mechanism
indirect,0.01,20,5,0,configuration_pair_reproduced_all_bases
threads,0.01,25,5,0,configuration_pair_reproduced_all_bases
